Isoform,Count,Length
Q92667-2,14,593
Q9NP73-2,37,165
Q9NP73-4,244,954
Q9NR48-2,508,2964
Q76L83-2,55,918
P46100-4,601,2454
Q8TBE0-2,1,779
Q8TBE0-3,1,777
Q9NRL2-2,2,1524
Q9UIF8-5,11,2132
Q12830-2,78,2920
O95696-2,14,1189
P25440-2,6,836
Q15059-2,1,556
O60885-2,13,722
O60885-3,13,794
Q58F21-4,1,901
Q58F21-5,1,874
P55201-2,116,1220
P55201-3,58,1213
P55201-4,56,1119
Q9NSI6-2,8,2269
Q9NSI6-3,8,2199
Q9NSI6-4,1,120
Q14781-2,1,211
Q9BXF3-3,5,1464
Q9NTX5-2,3,301
Q9NTX5-3,1,226
O14647-2,485,1739
O14647-3,121,501
Q12873-2,104,1966
Q12873-3,113,2059
Q14839-2,107,1940
Q8TD26-2,1,373
Q9P2D1-2,365,1138
Q9P2D1-4,317,948
Q9HCK8-2,376,2302
Q3L8U1-2,2,2881
P26358-2,365,1632
O75530-2,24,466
O75530-3,22,400
Q9H9B1-2,47,66
Q9H9B1-4,395,808
Q96KQ7-2,1,1176
Q96L91-2,16,3123
Q92800-3,2,707
Q92800-4,2,677
Q15910-2,113,751
Q15910-3,110,707
Q15910-4,112,737
Q15910-5,220,695
Q49A26-3,2,547
Q49A26-5,2,472
Q92769-3,4,458
Q9UQL6-2,5,1037
Q9UQL6-3,5,1123
Q8WUI4-5,2,991
Q8WUI4-6,2,974
Q8WUI4-7,2,954
Q9BY41-4,47,286
Q9BY41-5,44,256
Q9BY41-6,23,139
Q9BY41-7,25,158
Q9BY41-8,50,146
Q9UKV0-10,1,562
Q9UKV0-11,1,513
Q9UKV0-3,1,590
Q9UKV0-5,4,1066
Q9UKV0-6,4,1025
Q9UKV0-7,8,1069
Q9UKV0-8,1,588
Q9UKV0-9,1,546
P00390-3,23,493
P00390-4,24,469
P00390-5,21,440
P10912-4,73,616
P12272-2,48,175
P12272-3,16,209
P16473-2,22,253
P16473-3,23,274
P30968-2,26,249
P42898-2,280,697
Q96K21-3,1,403
Q9UK53-2,3,279
Q9UK53-3,3,210
Q9UK53-4,3,235
Q99496-2,3,264
Q9UNL4-2,1,248
Q9UNL4-3,1,225
Q9UNL4-4,1,245
Q9UNL4-5,1,246
Q9UNL4-8,1,179
Q6IE81-2,1,830
Q9NQC1-3,1,562
Q92993-2,7,461
Q92993-3,8,546
Q92993-4,7,494
Q8WYB5-2,420,1890
Q8WYB5-3,780,1781
Q9H7Z6-2,16,467
O60341-2,31,876
Q8NB78-2,1,590
Q8NHM5-4,2,1265
Q8NHM5-5,1,559
O94953-2,7,448
Q9H3R0-2,2,1047
Q9H3R0-3,2,813
Q9UGL1-2,36,1580
P41229-2,171,1557
P41229-3,166,1516
P41229-4,144,1379
P41229-5,172,1559
O15054-1,65,1682
Q8N371-2,2,220
Q8N371-3,2,454
Q03164-2,527,3931
Q03164-3,532,3972
Q8NEZ4-3,395,4968
O14686-3,1271,5540
Q8IZD2-3,26,609
Q8IZD2-4,22,865
Q8IZD2-7,57,1816
Q8IZD2-8,32,1168
Q4FZB7-2,38,393
Q4FZB7-4,14,278
Q9NUN5-3,490,467
Q9UIS9-10,1,567
Q9UIS9-11,1,535
Q9UIS9-12,1,655
Q9UIS9-2,2,586
Q9UIS9-4,1,503
Q9UIS9-5,1,556
Q9UIS9-6,1,550
Q9UIS9-7,2,549
Q9UIS9-8,1,536
Q9UIS9-9,2,630
O95243-2,16,574
O95243-3,15,540
O95243-5,15,572
O95243-6,10,262
Q9P267-2,313,851
P51608-2,459,498
Q86VD1-2,1,963
Q9Y6X9-2,239,970
Q8TE76-3,1,900
P52701-3,2964,1230
Q13330-3,2,698
Q9Y6Y1-3,5,80
Q9Y6Y1-4,5,101
O94983-3,1,1197
O94983-4,1,1201
O94983-6,1,1241
Q9BTC8-2,1,515
Q96L73-3,515,2593
Q86VD1-2,1,963
Q96QT6-2,2,704
Q96QT6-5,2,849
O94880-1,1,888
Q8IWS0-2,32,312
Q8IWS0-5,74,331
Q9BWX1-2,2,342
Q9UPP1-2,41,1024
Q9UPP1-5,32,878
Q9P1Y6-2,4,1494
Q9P1Y6-3,4,1648
O75626-2,54,789
O75626-3,17,691
Q13029-5,6,1481
Q9NQX1-2,58,599
Q9NQX1-3,12,111
Q9NQX1-4,52,501
Q9P2R6-2,228,1012
Q9BXT8-1,5,653
Q07955-3,2,201
Q149N8-2,1,929
Q149N8-4,1,1659
Q9HB58-3,111,549
Q9HB58-6,151,713
Q9HB58-7,111,555
Q13342-3,3,753
Q13342-5,2,840
Q13342-6,3,807
P21675-13,119,1852
P21675-14,119,1873
Q9UGU0-2,91,1938
Q9BXT4-3,1,1189
O60522-2,4,2066
Q9Y2W6-3,1,516
Q6N021-2,35,1165
Q6N021-3,33,1194
