Gene,Isoform,Count,Length,Gene_Total_Count
O14646,O14646,45,1710,45
O14647,O14647-3,121,501,1133
O14647,O14647,527,1828,1133
O14647,O14647-2,485,1739,1133
O14686,O14686-3,1271,5540,2550
O14686,O14686,1279,5537,2550
O15054,O15054,63,1643,128
O15054,O15054-1,65,1682,128
O15379,O15379,5,428,5
O43151,O43151,57,1795,57
O43918,O43918,214,545,214
O60341,O60341-2,31,876,62
O60341,O60341,31,852,62
O60522,O60522,4,2096,8
O60522,O60522-2,4,2066,8
O60885,O60885,34,1362,60
O60885,O60885-3,13,794,60
O60885,O60885-2,13,722,60
O75164,O75164,1,1064,1
O75475,O75475,6,530,6
O75530,O75530,46,441,92
O75530,O75530-2,24,466,92
O75530,O75530-3,22,400,92
O75626,O75626-2,54,789,89
O75626,O75626,18,825,89
O75626,O75626-3,17,691,89
O94880,O94880-1,1,888,2
O94880,O94880,1,948,2
O94953,O94953-2,7,448,7
O94983,O94983-4,1,1201,4
O94983,O94983-3,1,1197,4
O94983,O94983,1,1202,4
O94983,O94983-6,1,1241,4
O95243,O95243,16,580,72
O95243,O95243-3,15,540,72
O95243,O95243-5,15,572,72
O95243,O95243-2,16,574,72
O95243,O95243-6,10,262,72
O95696,O95696,14,1058,28
O95696,O95696-2,14,1189,28
P00390,P00390,27,522,95
P00390,P00390-5,21,440,95
P00390,P00390-3,23,493,95
P00390,P00390-4,24,469,95
P10912,P10912-4,73,616,525
P10912,P10912,452,638,525
P12272,P12272-2,48,175,112
P12272,P12272-3,16,209,112
P12272,P12272,48,177,112
P16473,P16473-3,23,274,45
P16473,P16473-2,22,253,45
P21675,P21675-13,119,1852,238
P21675,P21675-14,119,1873,238
P22888,P22888,59,699,59
P25440,P25440-2,6,836,48
P25440,P25440,42,801,48
P26358,P26358-2,365,1632,722
P26358,P26358,357,1616,722
P29375,P29375,19,1690,19
P30968,P30968,27,328,53
P30968,P30968-2,26,249,53
P41229,P41229-5,172,1559,825
P41229,P41229,172,1560,825
P41229,P41229-4,144,1379,825
P41229,P41229-3,166,1516,825
P41229,P41229-2,171,1557,825
P42898,P42898,274,656,554
P42898,P42898-2,280,697,554
P46100,P46100-4,601,2454,1206
P46100,P46100,605,2492,1206
P51608,P51608-2,459,498,912
P51608,P51608,453,486,912
P52701,P52701-3,2964,1230,6197
P52701,P52701,3233,1360,6197
P55201,P55201-2,116,1220,288
P55201,P55201-3,58,1213,288
P55201,P55201-4,56,1119,288
P55201,P55201,58,1214,288
P56524,P56524,64,1084,64
Q03164,Q03164-3,532,3972,1591
Q03164,Q03164,532,3969,1591
Q03164,Q03164-2,527,3931,1591
Q06587,Q06587,6,406,6
Q07955,Q07955-3,2,201,3
