Isoform,Count,Length,Ratio
O43918,214,545,0.392660550458716
Q92667,35,903,0.0387596899224806
Q9NP73,292,1137,0.256816182937555
Q9NR48,127,2969,0.0427753452340855
Q8IXJ9,220,1541,0.142764438676184
Q76L83,92,1435,0.0641114982578397
Q9C0F0,146,2248,0.0649466192170818
P46100,605,2492,0.242776886035313
Q8TBE0,1,780,0.00128205128205128
Q9NRL2,4,1556,0.0025706940874036
Q9UIG0,12,1483,0.00809170600134862
Q9UIF8,11,2168,0.00507380073800738
Q12830,83,3046,0.0272488509520683
O95696,14,1058,0.0132325141776938
P25440,42,801,0.052434456928839
Q15059,1,726,0.00137741046831956
O60885,34,1362,0.0249632892804699
Q9H0E9,3,1235,0.00242914979757085
Q58F21,3,947,0.00316789862724393
P55201,58,1214,0.0477759472817133
Q9NSI6,8,2320,0.00344827586206897
Q6RI45,95,1802,0.0527192008879023
Q14781,16,532,0.0300751879699248
Q9BXF3,5,1484,0.00336927223719677
O14646,45,1710,0.0263157894736842
Q9NTX5,1,307,0.00325732899022801
O14647,527,1828,0.288293216630197
Q12873,106,2000,0.053
Q14839,107,1912,0.0559623430962343
Q8TD26,8,2715,0.00294659300184162
Q9P2D1,879,2997,0.293293293293293
Q9HCK8,678,2581,0.262688880278962
Q3L8U1,2,2897,0.000690369347600966
Q9BTC0,14,2240,0.00625
P26358,357,1616,0.220915841584158
O75530,46,441,0.104308390022676
Q9H9B1,585,1298,0.450693374422188
Q96KQ7,1,1210,0.000826446280991736
Q92800,4,747,0.00535475234270415
Q15910,113,746,0.151474530831099
Q49A26,2,553,0.00361663652802893
Q92769,3,488,0.00614754098360656
O15379,5,428,0.0116822429906542
P56524,64,1084,0.0590405904059041
Q9UQL6,10,1122,0.0089126559714795
Q9UBN7,144,1215,0.118518518518519
Q8WUI4,2,952,0.00210084033613445
Q9BY41,64,377,0.169761273209549
Q9UKV0,3,1011,0.0029673590504451
P00390,27,522,0.0517241379310345
P10912,452,638,0.70846394984326
P12272,48,177,0.271186440677966
P22888,59,699,0.0844062947067239
P30968,27,328,0.0823170731707317
P42898,274,656,0.417682926829268
Q96K21,1,471,0.00212314225053079
Q06587,6,406,0.0147783251231527
Q99496,3,336,0.00892857142857143
Q9UNL4,1,249,0.00401606425702811
Q6IE81,4,842,0.00475059382422803
Q9NQC1,1,790,0.00126582278481013
Q92830,1,837,0.001194743130227
Q92993,8,513,0.0155945419103314
Q8WYB5,731,2073,0.352629040038591
Q9H7Z6,32,458,0.0698689956331878
O60341,31,852,0.0363849765258216
Q8NB78,1,822,0.00121654501216545
Q8NHM5,3,1336,0.00224550898203593
Q7LBC6,35,1761,0.0198750709823964
O75164,1,1064,0.00093984962406015
Q9H3R0,2,1056,0.00189393939393939
P29375,19,1690,0.0112426035502959
Q9UGL1,36,1544,0.0233160621761658
P41229,172,1560,0.11025641025641
O15054,63,1643,0.0383444917833232
Q8N371,2,416,0.00480769230769231
Q03164,532,3969,0.134038800705467
Q8NEZ4,395,4911,0.0804316839747506
O14686,1279,5537,0.230991511648907
Q8IZD2,58,1858,0.031216361679225
Q4FZB7,78,885,0.088135593220339
Q9NUN5,64,540,0.118518518518519
Q9UIS9,3,605,0.00495867768595041
O95243,16,580,0.0275862068965517
Q9P267,557,1494,0.372824631860776
P51608,453,486,0.932098765432099
Q86VD1,1,984,0.00101626016260163
Q9Y6X9,246,1032,0.238372093023256
Q8TE76,1,937,0.00106723585912487
P52701,3233,1360,2.37720588235294
Q13330,2,715,0.0027972027972028
Q9Y6Y1,109,1673,0.0651524208009564
O94983,1,1202,0.000831946755407654
Q9BTC8,1,594,0.00168350168350168
Q96L73,534,2696,0.198071216617211
Q86VD1,1,984,0.00101626016260163
Q8WY21,2,1168,0.00171232876712329
Q96QT6,3,1004,0.00298804780876494
O94880,1,948,0.00105485232067511
Q9BVI0,3,1012,0.00296442687747036
Q92576,10,2039,0.00490436488474743
Q8IWS0,120,365,0.328767123287671
Q9BWX1,1,381,0.0026246719160105
Q9UPP1,47,1060,0.0443396226415094
Q9P1Y6,4,1649,0.00242571255306246
O75626,18,825,0.0218181818181818
Q13029,6,1718,0.00349243306169965
Q9NQX1,64,630,0.101587301587302
Q9NQX0,6,595,0.0100840336134454
Q9NQV8,540,689,0.783744557329463
O75475,6,530,0.0113207547169811
Q7Z5J4,505,1906,0.26495278069255
Q9P2R6,314,1566,0.200510855683269
Q9BXT8,6,1623,0.00369685767097967
Q07955,1,248,0.00403225806451613
Q9BYW2,463,2564,0.180577223088924
Q9C0A6,400,1442,0.277392510402219
Q149N8,2,1683,0.0011883541295306
Q9HB58,302,689,0.438316400580552
Q13342,3,867,0.00346020761245675
Q6ZRS2,768,3230,0.237770897832817
Q9UGU0,284,1960,0.144897959183673
Q9BXT4,1,1180,0.000847457627118644
O60522,4,2096,0.00190839694656489
Q8NHU6,46,1098,0.0418943533697632
Q8NDG6,6,1382,0.00434153400868307
Q9Y2W6,4,561,0.0071301247771836
Q8NFU7,7,2136,0.00327715355805243
Q6N021,110,2002,0.0549450549450549
O43151,57,1795,0.0317548746518106
Isoform,Count,Length,NA
Q92667-2,14,593,0.0236087689713322
Q9NP73-2,37,165,0.224242424242424
Q9NP73-4,244,954,0.255765199161426
Q9NR48-2,508,2964,0.171390013495277
Q76L83-2,55,918,0.0599128540305011
P46100-4,601,2454,0.244906275468623
Q8TBE0-2,1,779,0.00128369704749679
Q8TBE0-3,1,777,0.00128700128700129
Q9NRL2-2,2,1524,0.00131233595800525
Q9UIF8-5,11,2132,0.00515947467166979
Q12830-2,78,2920,0.0267123287671233
O95696-2,14,1189,0.0117746005046257
P25440-2,6,836,0.00717703349282297
Q15059-2,1,556,0.00179856115107914
O60885-2,13,722,0.018005540166205
O60885-3,13,794,0.0163727959697733
Q58F21-4,1,901,0.00110987791342952
Q58F21-5,1,874,0.0011441647597254
P55201-2,116,1220,0.0950819672131148
P55201-3,58,1213,0.0478153338829349
P55201-4,56,1119,0.0500446827524576
Q9NSI6-2,8,2269,0.00352578228294403
Q9NSI6-3,8,2199,0.00363801728058208
Q9NSI6-4,1,120,0.00833333333333333
Q14781-2,1,211,0.004739336492891
Q9BXF3-3,5,1464,0.00341530054644809
Q9NTX5-2,3,301,0.00996677740863787
Q9NTX5-3,1,226,0.00442477876106195
O14647-2,485,1739,0.27889591719379
O14647-3,121,501,0.241516966067864
Q12873-2,104,1966,0.0528992878942014
Q12873-3,113,2059,0.0548810101991258
Q14839-2,107,1940,0.0551546391752577
Q8TD26-2,1,373,0.00268096514745308
Q9P2D1-2,365,1138,0.320738137082601
Q9P2D1-4,317,948,0.334388185654008
Q9HCK8-2,376,2302,0.163336229365769
Q3L8U1-2,2,2881,0.000694203401596668
P26358-2,365,1632,0.223651960784314
O75530-2,24,466,0.0515021459227468
O75530-3,22,400,0.055
Q9H9B1-2,47,66,0.712121212121212
Q9H9B1-4,395,808,0.488861386138614
Q96KQ7-2,1,1176,0.000850340136054422
Q96L91-2,16,3123,0.00512327889849504
Q92800-3,2,707,0.00282885431400283
Q92800-4,2,677,0.00295420974889217
Q15910-2,113,751,0.150466045272969
Q15910-3,110,707,0.155586987270156
Q15910-4,112,737,0.151967435549525
Q15910-5,220,695,0.316546762589928
Q49A26-3,2,547,0.0036563071297989
Q49A26-5,2,472,0.00423728813559322
Q92769-3,4,458,0.00873362445414847
Q9UQL6-2,5,1037,0.00482160077145612
Q9UQL6-3,5,1123,0.00445235975066785
Q8WUI4-5,2,991,0.00201816347124117
Q8WUI4-6,2,974,0.00205338809034908
Q8WUI4-7,2,954,0.00209643605870021
Q9BY41-4,47,286,0.164335664335664
