Isoform,Count,Length
O43918,214,545
Q92667,35,903
Q9NP73,292,1137
Q9NR48,127,2969
Q8IXJ9,220,1541
Q76L83,92,1435
Q9C0F0,146,2248
P46100,605,2492
Q8TBE0,1,780
Q9NRL2,4,1556
Q9UIG0,12,1483
Q9UIF8,11,2168
Q12830,83,3046
O95696,14,1058
P25440,42,801
Q15059,1,726
O60885,34,1362
Q9H0E9,3,1235
Q58F21,3,947
P55201,58,1214
Q9NSI6,8,2320
Q6RI45,95,1802
Q14781,16,532
Q9BXF3,5,1484
O14646,45,1710
Q9NTX5,1,307
O14647,527,1828
Q12873,106,2000
Q14839,107,1912
Q8TD26,8,2715
Q9P2D1,879,2997
Q9HCK8,678,2581
Q3L8U1,2,2897
Q9BTC0,14,2240
P26358,357,1616
O75530,46,441
Q9H9B1,585,1298
Q96KQ7,1,1210
Q92800,4,747
Q15910,113,746
Q49A26,2,553
Q92769,3,488
O15379,5,428
P56524,64,1084
Q9UQL6,10,1122
Q9UBN7,144,1215
Q8WUI4,2,952
Q9BY41,64,377
Q9UKV0,3,1011
P00390,27,522
P10912,452,638
P12272,48,177
P22888,59,699
P30968,27,328
P42898,274,656
Q96K21,1,471
Q06587,6,406
Q99496,3,336
Q9UNL4,1,249
Q6IE81,4,842
Q9NQC1,1,790
Q92830,1,837
Q92993,8,513
Q8WYB5,731,2073
Q9H7Z6,32,458
O60341,31,852
Q8NB78,1,822
Q8NHM5,3,1336
Q7LBC6,35,1761
O75164,1,1064
Q9H3R0,2,1056
P29375,19,1690
Q9UGL1,36,1544
P41229,172,1560
O15054,63,1643
Q8N371,2,416
Q03164,532,3969
Q8NEZ4,395,4911
O14686,1279,5537
Q8IZD2,58,1858
Q4FZB7,78,885
Q9NUN5,64,540
Q9UIS9,3,605
O95243,16,580
Q9P267,557,1494
P51608,453,486
Q86VD1,1,984
Q9Y6X9,246,1032
Q8TE76,1,937
P52701,3233,1360
Q13330,2,715
Q9Y6Y1,109,1673
O94983,1,1202
Q9BTC8,1,594
Q96L73,534,2696
Q86VD1,1,984
Q8WY21,2,1168
Q96QT6,3,1004
O94880,1,948
Q9BVI0,3,1012
Q92576,10,2039
Q8IWS0,120,365
Q9BWX1,1,381
Q9UPP1,47,1060
Q9P1Y6,4,1649
O75626,18,825
Q13029,6,1718
Q9NQX1,64,630
Q9NQX0,6,595
Q9NQV8,540,689
O75475,6,530
Q7Z5J4,505,1906
Q9P2R6,314,1566
Q9BXT8,6,1623
Q07955,1,248
Q9BYW2,463,2564
Q9C0A6,400,1442
Q149N8,2,1683
Q9HB58,302,689
Q13342,3,867
Q6ZRS2,768,3230
Q9UGU0,284,1960
Q9BXT4,1,1180
O60522,4,2096
Q8NHU6,46,1098
Q8NDG6,6,1382
Q9Y2W6,4,561
Q8NFU7,7,2136
Q6N021,110,2002
O43151,57,1795
