Identifier,Likely.benign,uncertain,Benign,Pathogenic,Likely.pathogenic,seq_len,variant_space
O43918,13,151,2,8,20,545,11720
Q92667,0,5,0,0,0,903,0
Q9NP73,42,173,6,1,6,1137,78771
Q9NP73-2,4,19,0,1,4,165,6760
Q9NP73-3,38,161,6,0,4,1059,75023
Q9NP73-4,37,146,6,0,3,954,74959
Q9NR48,9,43,2,0,1,2969,183109
Q9NR48-2,36,192,8,0,4,2964,183109
Q8IXJ9,11,7,0,0,0,1541,68117
Q76L83,1,4,0,0,0,1435,29345
Q9C0F0,11,3,1,0,0,2248,100176
P46100,19,21,4,0,6,2492,277645
P46100-4,130,215,53,5,45,2454,277645
Q9NRL2,0,0,0,2,0,1556,0
Q9NRL2-2,0,0,0,1,0,1524,NA
Q9UIG0,0,2,0,0,0,1483,12024
Q9UIF8,0,2,0,2,0,2168,128797
Q9UIF8-5,0,2,0,2,0,2132,128797
Q12830-2,1,20,0,0,6,2920,149922
Q12830-4,1,20,0,0,6,2903,149922
Q15059,0,1,0,0,0,726,NA
O60885,2,10,0,0,0,1362,13366
O60885-2,1,6,0,0,0,722,13366
O60885-3,1,6,0,0,0,794,13366
P55201,5,17,0,2,5,1214,12279
P55201-2,10,36,0,4,10,1220,12279
P55201-3,5,18,0,2,5,1213,12279
P55201-4,5,17,0,2,5,1119,12279
Q9NSI6,0,2,0,0,3,2320,114030
Q9NSI6-2,0,2,0,0,3,2269,114030
Q9NSI6-4,0,1,0,0,0,120,NA
Q6RI45,3,5,1,0,0,1802,117045
Q14781,0,1,0,0,2,532,1035
O14646,0,2,0,0,0,1710,48557
Q9NTX5-2,0,0,0,0,3,301,NA
Q9NTX5-3,0,0,0,0,1,226,NA
O14647,61,304,6,5,28,1828,123455
O14647-3,19,77,2,1,0,501,47788
Q12873,1,7,0,0,21,2000,26476
Q12873-2,1,23,0,1,46,1966,21758
Q12873-3,1,27,0,1,46,2059,26476
Q14839,2,4,0,0,8,1912,35431
Q8TD26,0,1,0,0,0,2715,NA
Q9P2D1,120,380,26,3,34,2997,124459
Q9P2D1-4,70,139,10,0,2,948,124459
Q9HCK8,60,162,9,6,15,2581,45953
Q9HCK8-2,34,92,2,4,12,2302,43624
P26358,6,43,0,0,5,1616,61223
P26358-2,21,275,4,1,8,1632,61223
O75530,0,2,0,0,0,441,32687
O75530-2,2,11,0,1,6,466,32687
Q9H9B1,164,176,44,1,6,1298,215919
Q9H9B1-4,107,118,35,0,0,808,163363
Q15910,8,39,3,3,18,746,39638
Q15910-2,8,39,3,3,20,751,39638
Q15910-3,7,38,3,3,20,707,39638
Q15910-4,8,39,2,3,20,737,39638
Q15910-5,16,76,4,6,40,695,39638
Q92769,0,1,0,0,0,488,NA
O15379,0,0,0,0,2,428,9
P56524,4,10,0,2,2,1084,136548
Q9UBN7,9,9,0,0,0,1215,20719
Q9BY41,4,14,2,4,18,377,220980
Q9BY41-4,2,10,1,2,22,286,220980
Q9BY41-5,4,13,1,5,13,256,98042
Q9BY41-6,2,9,0,1,4,139,98042
Q9BY41-7,4,9,1,4,3,158,4834
Q9BY41-8,8,18,2,8,6,146,4834
P00390,2,10,2,0,1,522,NA
P10912,0,42,12,6,6,638,NA
P12272,0,0,0,3,6,177,NA
P22888,5,5,2,1,11,699,NA
P30968,0,3,0,6,14,328,NA
P42898,12,112,6,6,68,656,NA
Q96K21,0,0,0,0,1,471,NA
P00390-3,2,8,2,0,1,493,NA
P00390-4,2,10,2,0,1,469,NA
P00390-5,2,8,2,0,1,440,NA
P10912-4,2,22,5,3,8,616,NA
P12272-2,0,0,0,3,6,175,NA
P16473-2,3,7,3,5,1,253,NA
P16473-3,3,7,3,5,1,274,NA
P30968-2,0,3,0,8,22,249,NA
P42898-2,12,116,6,6,100,697,NA
Q96K21-3,0,0,0,0,1,403,NA
Q9UK53-2,0,0,0,3,0,279,72
Q9UK53-3,0,0,0,3,0,210,72
Q9UK53-4,0,0,0,3,0,235,72
Q9UK53-5,0,0,0,3,0,262,72
Q9UNL4,0,1,0,0,0,249,0
Q9UNL4-2,0,1,0,0,0,248,NA
Q9UNL4-3,0,1,0,0,0,225,NA
Q9UNL4-4,0,1,0,0,0,245,NA
Q9UNL4-5,0,1,0,0,0,246,NA
Q9UNL4-8,0,1,0,0,0,179,NA
Q92993,0,1,0,0,3,513,6146
Q92993-2,0,2,0,0,3,461,6146
Q92993-3,0,2,0,0,3,546,6146
Q92993-4,0,2,0,0,3,494,6146
Q8WYB5,288,612,78,0,18,2073,188092
Q8WYB5-2,164,386,44,0,12,1890,188092
Q8WYB5-3,312,668,88,0,16,1781,188092
Q9H7Z6,0,0,0,0,2,458,10357
Q9H7Z6-2,0,2,0,4,3,467,10357
O60341,0,1,0,0,1,852,62547
O60341-2,0,7,0,0,4,876,62547
Q7LBC6,2,7,0,0,0,1761,78617
O94953-2,0,1,0,1,1,448,31040
Q9H3R0,0,1,0,0,0,1056,0
Q9H3R0-3,0,1,0,0,0,813,NA
Q9H3R0-4,0,1,0,0,0,835,NA
Q9UGL1,0,11,0,1,0,1544,77128
Q9UGL1-2,0,11,0,1,0,1580,77128
P41229,15,37,8,1,9,1560,31876
P41229-2,15,57,7,4,25,1557,31876
P41229-4,11,44,5,3,22,1379,31325
P41229-5,15,57,8,4,25,1559,31876
O15054,8,11,0,0,1,1643,7096
O15054-1,8,13,0,0,1,1682,7096
Q8N371-3,0,1,0,0,0,454,NA
Q03164,13,10,1,0,3,3969,85396
Q03164-3,16,59,1,3,15,3972,85396
Q8NEZ4,21,52,0,0,3,4911,298835
O14686,258,336,154,14,41,5537,33477
O14686-3,0,1,0,1,6,5540,32677
Q8IZD2,0,5,0,0,0,1858,49757
Q4FZB7,4,20,0,4,4,885,32002
Q4FZB7-2,0,4,0,4,4,393,18913
Q9NUN5,1,71,1,0,0,540,NA
Q9NUN5-3,10,540,10,0,0,467,NA
O95243,0,2,0,0,1,580,6300
O95243-2,0,2,0,0,1,574,6300
O95243-3,0,2,0,0,1,540,5243
O95243-5,0,2,0,0,1,572,5243
O95243-6,0,2,0,0,1,262,6300
Q9P267,108,273,8,0,0,1494,54170
P51608,28,32,4,8,39,486,67298
P51608-2,76,116,23,11,92,498,67298
Q9Y6X9,4,30,0,0,8,1032,31884
Q9Y6X9-2,15,213,0,0,8,970,23608
P52701,6,1751,0,3,22,1360,23626
P52701-3,10,2748,0,5,28,1230,23626
P52701-4,7,2353,0,2,25,1058,7970
Q13330,0,1,0,0,0,715,NA
Q9Y6Y1,10,29,0,2,3,1673,NA
Q9Y6Y1-3,0,3,0,0,0,80,NA
Q9Y6Y1-4,0,3,0,0,0,101,NA
