Isoform,Count,Length,Isoform_Count
O43918,214,545,4
Q92667,35,903,2
Q9NP73,292,1137,4
Q9NR48,127,2969,2
Q8IXJ9,220,1541,2
Q76L83,92,1435,2
Q9C0F0,146,2248,2
P46100,605,2492,6
Q8TBE0,1,780,3
Q9NRL2,4,1556,2
Q9UIG0,12,1483,2
Q9UIF8,11,2168,5
Q12830,83,3046,3
O95696,14,1058,2
P25440,42,801,4
Q15059,1,726,2
O60885,34,1362,3
Q9H0E9,3,1235,4
Q58F21,3,947,5
P55201,58,1214,4
Q9NSI6,8,2320,4
Q6RI45,95,1802,5
Q14781,16,532,2
Q9BXF3,5,1484,3
O14646,45,1710,2
Q9NTX5,1,307,6
O14647,527,1828,3
Q12873,106,2000,3
Q14839,107,1912,2
Q8TD26,8,2715,3
Q9P2D1,879,2997,4
Q9HCK8,678,2581,2
Q3L8U1,2,2897,3
Q9BTC0,14,2240,4
P26358,357,1616,3
O75530,46,441,3
Q9H9B1,585,1298,4
Q96KQ7,1,1210,3
Q92800,4,747,5
Q15910,113,746,5
Q49A26,2,553,5
Q92769,3,488,2
O15379,5,428,2
P56524,64,1084,2
Q9UQL6,10,1122,3
Q9UBN7,144,1215,2
Q8WUI4,2,952,10
Q9BY41,64,377,6
Q9UKV0,3,1011,11
P00390,27,522,5
P10912,452,638,4
P12272,48,177,3
P22888,59,699,2
P30968,27,328,2
P42898,274,656,2
Q96K21,1,471,4
Q06587,6,406,2
Q99496,3,336,2
Q9UNL4,1,249,8
Q6IE81,4,842,3
Q9NQC1,1,790,3
Q92830,1,837,2
Q92993,8,513,4
Q8WYB5,731,2073,3
Q9H7Z6,32,458,2
O60341,31,852,2
Q8NB78,1,822,3
Q8NHM5,3,1336,5
Q7LBC6,35,1761,3
O75164,1,1064,2
Q9H3R0,2,1056,4
P29375,19,1690,2
Q9UGL1,36,1544,2
P41229,172,1560,5
O15054,63,1643,2
Q8N371,2,416,3
Q03164,532,3969,3
Q8NEZ4,395,4911,3
O14686,1279,5537,2
Q8IZD2,58,1858,8
Q4FZB7,78,885,3
Q9NUN5,64,540,4
Q9UIS9,3,605,11
O95243,16,580,5
Q9P267,557,1494,2
P51608,453,486,2
Q86VD1,1,984,2
Q9Y6X9,246,1032,2
Q8TE76,1,937,3
P52701,3233,1360,4
Q13330,2,715,3
Q9Y6Y1,109,1673,4
O94983,1,1202,6
Q9BTC8,1,594,2
Q96L73,534,2696,3
Q86VD1,1,984,2
Q8WY21,2,1168,4
Q96QT6,3,1004,5
O94880,1,948,3
Q9BVI0,3,1012,2
Q92576,10,2039,2
Q8IWS0,120,365,5
Q9BWX1,1,381,2
Q9UPP1,47,1060,5
Q9P1Y6,4,1649,3
O75626,18,825,3
Q13029,6,1718,5
Q9NQX1,64,630,4
Q9NQX0,6,595,3
Q9NQV8,540,689,2
O75475,6,530,3
Q7Z5J4,505,1906,4
Q9P2R6,314,1566,2
Q9BXT8,6,1623,5
Q07955,1,248,3
Q9BYW2,463,2564,3
Q9C0A6,400,1442,3
Q149N8,2,1683,4
Q9HB58,302,689,7
Q13342,3,867,6
Q6ZRS2,768,3230,3
Q9UGU0,284,1960,2
Q9BXT4,1,1180,4
O60522,4,2096,2
Q8NHU6,46,1098,3
Q8NDG6,6,1382,2
Q9Y2W6,4,561,2
Q8NFU7,7,2136,4
Q6N021,110,2002,3
O43151,57,1795,3
Isoform,Count,Length,1
Q92667-2,14,593,2
Q9NP73-2,37,165,4
Q9NP73-4,244,954,4
Q9NR48-2,508,2964,2
Q76L83-2,55,918,2
P46100-4,601,2454,6
Q8TBE0-2,1,779,3
Q8TBE0-3,1,777,3
Q9NRL2-2,2,1524,2
Q9UIF8-5,11,2132,5
Q12830-2,78,2920,3
O95696-2,14,1189,2
P25440-2,6,836,4
Q15059-2,1,556,2
O60885-2,13,722,3
O60885-3,13,794,3
Q58F21-4,1,901,5
Q58F21-5,1,874,5
P55201-2,116,1220,4
P55201-3,58,1213,4
P55201-4,56,1119,4
Q9NSI6-2,8,2269,4
Q9NSI6-3,8,2199,4
Q9NSI6-4,1,120,4
Q14781-2,1,211,2
Q9BXF3-3,5,1464,3
Q9NTX5-2,3,301,6
Q9NTX5-3,1,226,6
O14647-2,485,1739,3
O14647-3,121,501,3
Q12873-2,104,1966,3
Q12873-3,113,2059,3
Q14839-2,107,1940,2
Q8TD26-2,1,373,3
Q9P2D1-2,365,1138,4
Q9P2D1-4,317,948,4
Q9HCK8-2,376,2302,2
Q3L8U1-2,2,2881,3
P26358-2,365,1632,3
O75530-2,24,466,3
O75530-3,22,400,3
Q9H9B1-2,47,66,4
Q9H9B1-4,395,808,4
Q96KQ7-2,1,1176,3
Q96L91-2,16,3123,5
Q92800-3,2,707,5
Q92800-4,2,677,5
Q15910-2,113,751,5
Q15910-3,110,707,5
Q15910-4,112,737,5
Q15910-5,220,695,5
Q49A26-3,2,547,5
Q49A26-5,2,472,5
Q92769-3,4,458,2
Q9UQL6-2,5,1037,3
Q9UQL6-3,5,1123,3
Q8WUI4-5,2,991,10
Q8WUI4-6,2,974,10
Q8WUI4-7,2,954,10
Q9BY41-4,47,286,6
Q9BY41-5,44,256,6
Q9BY41-6,23,139,6
Q9BY41-7,25,158,6
